Primate ID,Challenges,ADCP,ADNP,FcR2A binding,IgA
201-08,2,8.4,17.52,141045.5,973.5
47-12,9,11.8,28.46,163886.5,1995.5
35-12,1,8.3,12.81,116096.75,589.25
36-12,1,10,19.33,132087.5,929.25
92-09,4,11.7,17.19,112683,581.75
53-12,8,12.7,22.16,116411.25,1806
71-12,1,7.1,13.68,80849.5,695
86-12,1,9.2,5.75,89314.5,308.5
357-08,1,5.3,14.79,123737,953
43-12,3,17,28.68,131005,1612.25
54-12,4,13.8,26.54,134361.5,1529.5
63-12,2,10.7,12.82,105941.5,913.5
77-12,9,9.7,16.44,138743,1062.75
49-12,9,14.5,10.37,126743.75,692.25
41-12,9,16.1,21.48,133061.5,268
52-12,1,12,21.34,115558,95
74-12,9,10.4,18.01,149470.75,241.5
48-12,9,16.1,44.81,166045.75,1021.5
